physicalCueKey,voiceId,path,exists,sha256,durationMs,manifestRegistered,verifyAudioCovered,generationMetadataPresent,fingerprintStatus,referencedByLogicalCueKeys,legacyReachability,v21Reachability,classification,notes
chair-stand-intro,clara,assets/audio/voice/clara/chair-stand-intro.mp3,true,1f5289f343e15713cbc63c56c4254b5eed6856724e850797b1ed21778bec34ea,9474,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
chair-stand-setup,clara,assets/audio/voice/clara/chair-stand-setup.mp3,true,f9ecdc501d8eff499a583ae6cc3f6959f1926c66072c0d254b433fb4d9384809,10031,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
chair_controlled_sit,clara,assets/audio/voice/clara/chair_controlled_sit.mp3,true,cc4e642f3572261679f5973b2dfbc3bddfad359b3616de1ef3f9f39ac9ddc996,3019,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
chair_use_sturdy_chair,clara,assets/audio/voice/clara/chair_use_sturdy_chair.mp3,true,c5df146871d164d6f887df2a30fd159e1195348814c407254b39fc3eb7130f4c,2926,true,true,true,verified_by_verify_audio,equip-chair-stable-v21,legacy_safety_or_setup,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
checkup-balance-intro-v21,clara,assets/audio/voice/clara/checkup-balance-intro-v21.mp3,true,d50f2797e1a4e219547db5114c6900755aa4a8c320e03ae26b3da96fac315365,4690,true,true,true,verified_by_verify_audio,checkup-balance-intro-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-balance-single-leg-v21,clara,assets/audio/voice/clara/checkup-balance-single-leg-v21.mp3,true,150f92299310232b0a58dbd793883816c901fbd30594462b0ff08b49760f282c,4690,true,true,true,verified_by_verify_audio,checkup-balance-single-leg-left-v21;checkup-balance-single-leg-right-v21;checkup-balance-single-leg-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-chair-stand-intro-v21,clara,assets/audio/voice/clara/checkup-chair-stand-intro-v21.mp3,true,78e07bb6e09b12918fd688eac88178b0b5a3f9e9b76cb72934ee176606aedcce,4737,true,true,true,verified_by_verify_audio,checkup-chair-stand-intro-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-chair-stand-setup-v21,clara,assets/audio/voice/clara/checkup-chair-stand-setup-v21.mp3,true,28a340ea76a15341a3848e117bb914da604f900dfc2c1320babc8e9ad69d56b5,5619,true,true,true,verified_by_verify_audio,checkup-chair-stand-setup-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-complete-v21,clara,assets/audio/voice/clara/checkup-complete-v21.mp3,true,f5dc277ca5d4290279149f8497c4e64f1f1addefeddbb43ed175e977ee3bbf9e,2601,true,true,true,verified_by_verify_audio,checkup-complete-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-complete,clara,assets/audio/voice/clara/checkup-complete.mp3,true,91aaaf9bb6b7b06c4ac37aa33944b7e7e4dfbdec701e69409516d5eefacf9c3a,5201,true,false,false,baseline_audio_without_required_fingerprint_gate,,movement_checkup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
checkup-hinge-setup-v21,clara,assets/audio/voice/clara/checkup-hinge-setup-v21.mp3,true,ed41360d9bfe88a1fcc1c336e57c9de216abdf760ff210b9fccb9884bb565e7e,6641,true,true,true,verified_by_verify_audio,checkup-hinge-setup-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-intro,clara,assets/audio/voice/clara/checkup-intro.mp3,true,f8615e112d44fc487f412af2cff86d391e5423829511017c91e108a440b4433e,12492,true,false,false,baseline_audio_without_required_fingerprint_gate,,movement_checkup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
checkup-shoulder-raise-left-v21,clara,assets/audio/voice/clara/checkup-shoulder-raise-left-v21.mp3,true,6565233b8651dd52422b09c612c0a5faa021f6dcb1a968d92eb7ba88b8acebb2,4690,true,true,true,verified_by_verify_audio,checkup-shoulder-raise-left-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-shoulder-raise-right-v21,clara,assets/audio/voice/clara/checkup-shoulder-raise-right-v21.mp3,true,1e92ab429a5ac3343299277aecc242c06cb3d98731636a9e2335d5b2a2c12315,5155,true,true,true,verified_by_verify_audio,checkup-shoulder-raise-right-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-shoulder-turn-left-v21,clara,assets/audio/voice/clara/checkup-shoulder-turn-left-v21.mp3,true,52374e4bf3a58c023cf310729bd585676e2cbc0e800c0c98c847a785fc2fc93b,2601,true,true,true,verified_by_verify_audio,checkup-shoulder-turn-left-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
checkup-shoulder-turn-right-v21,clara,assets/audio/voice/clara/checkup-shoulder-turn-right-v21.mp3,true,5da47d97f2c31c6650ea0dae62838b6e2cf52d0358d8d95024bd1a403088edb5,2554,true,true,true,verified_by_verify_audio,checkup-shoulder-turn-right-v21,movement_checkup,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
close-your-eyes,clara,assets/audio/voice/clara/close-your-eyes.mp3,true,596221b014a55929130b8c7c4e5a1bf98369a263916ed2a56d350b22dcc9c5f7,2461,true,false,false,baseline_audio_without_required_fingerprint_gate,close-your-eyes,conditional_legacy_balance,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
comfortable_range_only,clara,assets/audio/voice/clara/comfortable_range_only.mp3,true,60583faa7b2fcf7cb8f132d42bf741a0cc73d5421b0d39567b1ced8480868986,2136,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
cooldown-now,clara,assets/audio/voice/clara/cooldown-now.mp3,true,6bb0a9b428dafc1383c28de59cad1b0cb73ba8afddf146764cab45d50bbec84c,2601,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
countdown-one,clara,assets/audio/voice/clara/countdown-one.mp3,true,60897a7add547b8f1226c9bdea8477d732720c8190245fe0752c3524e5df5961,604,true,false,false,baseline_audio_without_required_fingerprint_gate,countdown-one,legacy_shared_or_current_manifest,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
countdown-three,clara,assets/audio/voice/clara/countdown-three.mp3,true,f328b2ce277c8813452f39cf970b34008b7906baa3d51732b1b93707285b9bcf,789,true,false,false,baseline_audio_without_required_fingerprint_gate,countdown-three,legacy_shared_or_current_manifest,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
countdown-two,clara,assets/audio/voice/clara/countdown-two.mp3,true,ffd95b7bd9220c741ce08c80f5e01d5ed06bc8bf31573638175daa4dc8936e6b,743,true,false,false,baseline_audio_without_required_fingerprint_gate,countdown-two,legacy_shared_or_current_manifest,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
door_anchor_follow_manufacturer_setup,clara,assets/audio/voice/clara/door_anchor_follow_manufacturer_setup.mp3,true,4d0f15b7495800576df2d984dcb22581084086a591b5a87579beaf0ae42cba8e,4040,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
door_anchor_fully_closed,clara,assets/audio/voice/clara/door_anchor_fully_closed.mp3,true,34c3f0da39caaa93bb3335e92047812da861709861d17faa28cf34de95142f0b,3529,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
door_anchor_stay_out_of_door_path,clara,assets/audio/voice/clara/door_anchor_stay_out_of_door_path.mp3,true,4e6ee142b9e234ef97eadc96ae2fedc05c46a68a4f45b988131c8078756a7bfe,3297,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
door_anchor_stop_if_moves,clara,assets/audio/voice/clara/door_anchor_stop_if_moves.mp3,true,2ec77de5e47a867fe6e05c5d3f77f786e0c72c4f9ef4a43edd8a9c93b4a412b2,4830,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
door_anchor_test_light_tension,clara,assets/audio/voice/clara/door_anchor_test_light_tension.mp3,true,68d4880f66db25734091129a890e3fdcf211cef2760a77231b97de87de33c043,3297,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-balance,clara,assets/audio/voice/clara/ex-balance.mp3,true,ea2b4e90e176988c6512a6daa67b5ad2d34aaf9aa17c36a06e5db8aff83816dc,8081,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-glute-bridge,clara,assets/audio/voice/clara/ex-glute-bridge.mp3,true,309733ea2a3d8a44fe6bdaffac9282192405ec76c20970792150e838e32035c6,8731,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-hamstring-reach,clara,assets/audio/voice/clara/ex-hamstring-reach.mp3,true,f317ec4c73a02cf05d36a469c9c91bc029a62e28b5057401a292e486e86f748d,10077,true,false,false,baseline_audio_without_required_fingerprint_gate,micro-mobility-left-v21;micro-mobility-right-v21,legacy_training_family_instruction,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
ex-heel-raise,clara,assets/audio/voice/clara/ex-heel-raise.mp3,true,61f4aee79175b7e9e32f676fe0d471a4e928c7887ca783b198643c06b9100578,9381,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-hip-hinge,clara,assets/audio/voice/clara/ex-hip-hinge.mp3,true,82fcd38126fcac55cddbd9ce7dbfdcbc71dea8c4e5076dc75e32878180ee02b3,10542,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-march,clara,assets/audio/voice/clara/ex-march.mp3,true,4fd135a1a59e1d5058f7cec061066f41828073d5bfd70a01bd0d13d1a977bbf8,7709,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-neck-rotation,clara,assets/audio/voice/clara/ex-neck-rotation.mp3,true,21fe9852827acac8d14e1dd710860c874a6e46630606f6f14c21b61b55f52b58,8452,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-overhead,clara,assets/audio/voice/clara/ex-overhead.mp3,true,94a8a318843f43983234bbf81a5b4d8e6890506bd5fbc2ff7d6cd3a1528f423b,6687,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-push-up,clara,assets/audio/voice/clara/ex-push-up.mp3,true,1fff6218cbfdb0496e2a9716467f70209588d9f225833798bc7c261f01702be2,8127,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-sit-to-stand,clara,assets/audio/voice/clara/ex-sit-to-stand.mp3,true,fe1fa08b6b0927fe22eb6d8f3669c9ce9db7a9499b8017974a648518165b1c37,10077,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-squat,clara,assets/audio/voice/clara/ex-squat.mp3,true,bc5a835d288d9c1ebf5674c38235887a6267898e08927d3f7ffd795b3d7f91c1,9009,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
ex-step-up,clara,assets/audio/voice/clara/ex-step-up.mp3,true,b58c4d839ff667b53a3dde655ef7f205a6408573097d0008c8b8e395cc9a8e21,10449,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_training_family_instruction,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
exercise-skipped,clara,assets/audio/voice/clara/exercise-skipped.mp3,true,cdf7387af7bd24f926d420b88a39f1e74809f3ce0204eebc9f18b8868c8eeac8,3344,true,false,false,baseline_audio_without_required_fingerprint_gate,training-skip-v21,legacy_shared_or_current_manifest,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
face-forward,clara,assets/audio/voice/clara/face-forward.mp3,true,8b164c0ccdc535390b4c7335d7400fa0dda2c6f921aa1c663edd151d03de491e,2879,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
final-position-set-v21,clara,assets/audio/voice/clara/final-position-set-v21.mp3,true,0bf9c47dee3527dd18ab9f53c0cc4f93160adb07ecc1640fd151a1efbf015dde,1115,true,true,true,verified_by_verify_audio,final-position-set-v21,legacy_shared_or_current_manifest,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
floor_clear_space,clara,assets/audio/voice/clara/floor_clear_space.mp3,true,140b5e6bb7d0059d42cacb146cdfce708b0d81e051a4e09972d20adb5e8f3db3,3669,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
floor_slow_transition,clara,assets/audio/voice/clara/floor_slow_transition.mp3,true,96384016ed2b6c64b1234c0dc66809d53ced6bcd36587b814467c693409777b9,3065,true,true,true,verified_by_verify_audio,equip-floor-transition-v21,legacy_safety_or_setup,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
floor_stop_if_transfer_unsteady,clara,assets/audio/voice/clara/floor_stop_if_transfer_unsteady.mp3,true,6b6455f2eee335ad7301d7796d105cec05a3d5ed47293960a496e4c5225d0fba,4969,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
floor_use_support_for_transfer,clara,assets/audio/voice/clara/floor_use_support_for_transfer.mp3,true,6acf520ecab5eefa062f35e092b0daf4010d86279d0caae744d409b4f2d31261,3297,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
framing-ready,clara,assets/audio/voice/clara/framing-ready.mp3,true,122750274f075ac3b33e691bad168d0a85757d341e20e3cb29f3a87e9cd8760c,1858,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
global_breathe_normally,clara,assets/audio/voice/clara/global_breathe_normally.mp3,true,54cc21dd8c4943531227bc41fa2837011f6873cb7f9bd2b0eb228b7274d9fb4a,3019,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
global_clear_space,clara,assets/audio/voice/clara/global_clear_space.mp3,true,b56cf4db9f6035e0cfb3300487ccfe8e3d0af7b01734ea4d3f67e32eb561e15b,2601,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
global_pause_if_tracking_lost,clara,assets/audio/voice/clara/global_pause_if_tracking_lost.mp3,true,b1132d6dd1fdc5b0725754e1f5c02b893d5152c8b3c7ce3c301829768326d17c,4923,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
global_stop_dizzy_or_lightheaded,clara,assets/audio/voice/clara/global_stop_dizzy_or_lightheaded.mp3,true,f8a5a0c3f073a8c0dca162a0f2d33e146c4b5cf6ba462993fa09e863e25d8a64,3762,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
global_stop_if_support_moves,clara,assets/audio/voice/clara/global_stop_if_support_moves.mp3,true,e60dba614fccae2fee775d9da6eff9270a75c36fc1b3b7cb92bcb2ec03240d25,4458,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
global_stop_sharp_or_increasing_pain,clara,assets/audio/voice/clara/global_stop_sharp_or_increasing_pain.mp3,true,c88d16ff31233549fea5e84be6dae7f10c6b21f1560615e172ca0ef79c6fa1b9,3576,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
go,clara,assets/audio/voice/clara/go.mp3,true,988157c4832a6285bb155ebfbb10754f34dc88823e3709f2a054162304688323,789,true,false,false,baseline_audio_without_required_fingerprint_gate,go,legacy_shared_or_current_manifest,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
hinge-intro,clara,assets/audio/voice/clara/hinge-intro.mp3,true,923f6ba1652de9e897e943bf987b9236b8279533342ac7b6c6dbbbfada893f04,6362,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
hinge-setup,clara,assets/audio/voice/clara/hinge-setup.mp3,true,cbed9e7bbe6b150812be423d203ade971d6b21d2493630c6490dc9bb276a265e,7988,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
hold-still,clara,assets/audio/voice/clara/hold-still.mp3,true,0edd24cd5c8e475413b71e0315c185177b84b37c5fe7639cfb5e8df698629469,2043,true,false,false,baseline_audio_without_required_fingerprint_gate,setup-hold-still-v21,legacy_shared_or_current_manifest,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
item-complete-v21,clara,assets/audio/voice/clara/item-complete-v21.mp3,true,98f8c402da4acb3620dc96facc429662a8fee8a7d888a793a492d58c98241df2,1022,true,true,true,verified_by_verify_audio,checkup-balance-next-stance-v21;item-complete-v21,legacy_shared_or_current_manifest,active_v21_exact_reuse,physical_ready_exact_pair,Measured from current task-start physical corpus.
item-complete,clara,assets/audio/voice/clara/item-complete.mp3,true,3e527fb07cdee459c8dc55e1d1934f369513ca6795628ede5298ee5a0ebae9cd,1115,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_shared_or_current_manifest,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
last-set,clara,assets/audio/voice/clara/last-set.mp3,true,29c72f21b1e583d70bdd96faf42698208e67cdf6b4a0b995a66b5da7053c6013,2415,true,false,false,baseline_audio_without_required_fingerprint_gate,last-set-v21,legacy_shared_or_current_manifest,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
microcheck-balance,clara,assets/audio/voice/clara/microcheck-balance.mp3,true,76601b5b5dcb7232a978df26466ffd3e2227a65eefec553d36062ba67ce36cae,5991,true,false,false,baseline_audio_without_required_fingerprint_gate,micro-single-leg-left-v21;micro-single-leg-right-v21,legacy_micro_check,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
microcheck-chair,clara,assets/audio/voice/clara/microcheck-chair.mp3,true,d3916a69021e23c244d2c73e9f98d840e32f166b857854a53329015afb391b1d,9892,true,false,false,baseline_audio_without_required_fingerprint_gate,micro-chair-power-v21,legacy_micro_check,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
microcheck-complete,clara,assets/audio/voice/clara/microcheck-complete.mp3,true,f1f0d5250d6a3d555603893379a8d4c9bd96551309a9f8b3bc8865cdda3e8788,2647,true,false,false,baseline_audio_without_required_fingerprint_gate,microcheck-complete-v21,legacy_micro_check,candidate_not_reused,script_mismatch_candidate_not_reused,Measured from current task-start physical corpus.
microcheck-intro,clara,assets/audio/voice/clara/microcheck-intro.mp3,true,4efbb11c143733a9925780a0dca81e19cbe81bd7f83d27e08bed9bc6a17c9c46,4087,true,false,false,baseline_audio_without_required_fingerprint_gate,,legacy_micro_check,not_in_default_v21,retired,Measured from current task-start physical corpus.
mobility_no_forcing,clara,assets/audio/voice/clara/mobility_no_forcing.mp3,true,860235d6aa27476b753a0a1373c8b2d2d7409aa596a38dde9e1eeb6d8d0a4c7b,3344,true,true,true,verified_by_verify_audio,,legacy_safety_or_setup,not_in_default_v21,legacy_only,Measured from current task-start physical corpus.
